Basketball Player,Basketball team,Age,Height,Home country,college_1,college_1_start_year,college_1_end_year,college_2,college_2_start_year,college_2_end_year,college_3,college_3_start_year,college_3_end_year
Harrigan Mikiah,Phoenix Mercury,26,1.89,United States,University of South Carolina,2016,2019,,,,,,
Harris Tyasha,Connecticut Sun,27,1.78,United States,,,,,,,,,
Harrison Isabelle,Chicago Sky,31,1.91,United States,,,,,,,,,
Hayes Tiffany,Las Vegas Aces,35,1.78,United States,,,,,,,,,
Henderson Destanni,Atlanta Dream,26,1.7,United States,University of South Carolina,2018,2021,,,,,,
Hiedeman Natisha,Minnesota Lynx,28,1.73,United States,,,,,,,,,
Hillmon Naz,Atlanta Dream,25,1.89,United States,,,,,,,,,
Hines-Allen Myisha,"Washington Mystics
Minnesota Lynx",29,1.85,United States,,,,,,,,,
Holmes Joyner,Seattle Storm,27,1.91,United States,,,,,,,,,
Horston Jordan,Seattle Storm,24,1.88,United States,University of Tennessee,2019,2022,,,,,,
Howard Rhyne,Atlanta Dream,25,1.89,United States,,,,,,,,,
Howard Natasha,Dallas Wings,33,1.93,United States,,,,,,,,,
Hull Lexie,Indiana Fever,25,1.85,United States,,,,,,,,,
Ionescu Sabrina,New York Liberty,27,1.8,United States,,,,,,,,,
Jackson Rickea,Los Angeles Sparks,24,1.86,United States,,,,,,,,,
Jefferson Moriah,"Connecticut Sun
Chicago Sky",31,1.68,United States,,,,,,,,,
Jones Jonquel,New York Liberty,31,1.98,United States,,,,,,,,,
Jones Haley,Atlanta Dream,24,1.85,United States,,,,,,,,,
Jones Brionna,Connecticut Sun,29,1.91,United States,,,,,,,,,
Juhász Dorka,Minnesota Lynx,25,1.96,United States,Ohio State University,2018,2020,UConn,2021,2022,,,
Kalu Ezinne,Atlanta Dream,33,1.73,"Nigeria, United States",Savannah State University,2015,2015,,,,,,
Kone Sika,"Minnesota Lynx
Washington Mystics",23,1.9,Mali,,,,,,,,,
Laney Betnijah,New York Liberty,31,1.83,United States,Rutgers University,2011,2014,,,,,,
Li Yueru,Los Angeles Sparks,26,2,China,,,,,,,,,
Lopez-Sénéchal Lou,Dallas Wings,27,1.85,France,Fairfield University,2018,2021,UConn,2022,2022,,,
Loyd Jewell,Seattle Storm,31,1.78,United States,,,,,,,,,
Mabrey Marina,"Chicago Sky
Connecticut Sun",28,1.8,United States,,,,,,,,,
Mack Natasha,Phoenix Mercury,27,1.93,United States,,,,,,,,,
Magbegor Ezi,Seattle Storm,25,1.93,Australia,,,,,,,,,
Martin Kate,Las Vegas Aces,25,1.83,United States,,,,,,,,,
McBride Kayla,Minnesota Lynx,33,1.8,United States,,,,,,,,,
McCowan Teaira,Dallas Wings,28,2.04,United States,,,,,,,,,
McDonald Aari,Los Angeles Sparks,26,1.68,United States,,,,,,,,,
Melbourne Jade,Washington Mystics,22,1.78,Australia,,,,,,,,,
Miller Diamond,Minnesota Lynx,24,1.9,United States,,,,,,,,,
Mitchell Tiffany,Connecticut Sun,30,1.75,United States,,,,,,,,,
Mitchell Kelsey,Indiana Fever,29,1.73,United States,,,,,,,,,
Muhl Nika,Seattle Storm,23,1.83,Croatia,,,,,,,,,
Ndour Astou,Connecticut Sun,30,1.96,"Senegal, Spain",,,,,,,,,
Nelson-Ododa Olivia,Connecticut Sun,24,1.96,United States,,,,,,,,,
Nurse Kia,Los Angeles Sparks,29,1.82,Canada,,,,,,,,,
Ogunbowale Arike,Dallas Wings,28,1.73,United States,,,,,,,,,
Ogwumike Nneka,Seattle Storm,35,1.88,"Nigeria, United States",,,,,,,,,
Onyenwere Michaela,Chicago Sky,25,1.83,United States,,,,,,,,,
Osborne Charisma,Phoenix Mercury,23,1.83,Croatia,UConn,2020,2023,,,,,,
Parker Cheyenne,Atlanta Dream,32,1.93,United States,High Point University,2010,2012,Middle Tennessee University,2014,2014,,,
Pili Alissa,Minnesota Lynx,24,1.86,United States,,,,,,,,,
Plum Kelsey,Las Vegas Aces,30,1.73,United States,,,,,,,,,
Powers Aerial,Atlanta Dream,31,1.75,United States,,,,,,,,,
Reese Angel,Chicago Sky,23,1.9,United States,,,,,,,,,
Richards Didi,Washington Mystics,26,1.88,United States,Baylor University,2017,2020,,,,,,
Russell Mercedes,Seattle Storm,29,1.98,United States,,,,,,,,,
Sabally Nyara,New York Liberty,25,1.96,Germany,,,,,,,,,
Sabally Satou,Dallas Wings,27,1.93,United States,,,,,,,,,
Samuelson Karlie,Washington Mystics,30,1.83,United States,,,,,,,,,
Samuelson Katie Lou,Indiana Fever,28,1.9,United States,UConn,2015,2018,,,,,,
Saxton Victaria,Indiana Fever,25,1.88,United States,University of South Carolina,2018,2022,,,,,,
Sheldon Jacy,Dallas Wings,24,1.76,United States,,,,,,,,,
Sherrod Jaylyn,New York Liberty,22,1.7,United States,,,,,,,,,
Siegrist Maddy,Dallas Wings,25,1.88,United States,,,,,,,,,
Sims Odyssey,"Dallas Wings
Los Angeles Sparks",33,1.72,United States,,,,,,,,,
Smith Alanna,Minnesota Lynx,28,1.93,Australia,,,,,,,,,
Smith NaLyssa,Indiana Fever,24,1.93,United States,,,,,,,,,
Soares Stephanie,Dallas Wings,25,1.98,Brazil,The Masters University,2018,2021,Iowa State University,2022,2022,,,
Soule Taylor,Minnesota Lynx,25,1.8,United States,Boston College,2018,2021,Virginia Tech University,2022,2022,,,
Stevens Azura,Los Angeles Sparks,29,1.98,United States,,,,,,,,,
Stewart Breanna,New York Liberty,30,1.93,United States,,,,,,,,,
Stokes Kiah,Las Vegas Aces,32,1.91,United States,,,,,,,,,
Sutton Sug,"Phoenix Mercury
Washington Mystics",26,1.73,United States,,,,,,,,,
Sykes Brittney,Washington Mystics,31,1.75,United States,,,,,,,,,
Talbot Stephanie,Los Angeles Sparks,31,1.88,France,,,,,,,,,
Taurasi Diana,Phoenix Mercury,43,1.83,United States,UConn,2000,2003,,,,,,
Taylor Celeste,"Indiana Fever
Phoenix Mercury
Connecticut Sun",23,1.8,United States,University of Texas,2019,2020,Duke University,2021,2022,Ohio State University,2023,2023
Thomas Alyssa,Connecticut Sun,33,1.88,United States,,,,,,,,,
Thornton Kayla,New York Liberty,32,1.85,United States,,,,,,,,,
Turner Brianna,Chicago Sky,29,1.91,United States,,,,,,,,,
Uzun Sevgi,Dallas Wings,27,1.75,Turkey,,,,,,,,,
Vandersloot Courtney,New York Liberty,36,1.7,United States,,,,,,,,,
Vanloo Julie,Washington Mystics,32,1.71,Belgium,,,,,,,,,
Vivians Victoria,Seattle Storm,30,1.85,United States,Mississippi State University,2014,2017,,,,,,
Walker-Kimbrough Shatori,Washington Mystics,30,1.8,United States,,,,,,,,,
Wallace Kristy,Indiana Fever,29,1.8,United States,Baylor University,2014,2017,,,,,,
Wheeler Erica,Indiana Fever,34,1.7,United States,,,,,,,,,
Whitcomb Samantha,Seattle Storm,36,1.78,"United States, Australia",,,,,,,,,
Williams Kiana,Seattle Storm,26,1.73,United States,,,,,,,,,
Williams Gabby,Seattle Storm,28,1.8,"United States, France",,,,,,,,,
Williams Courtney,Minnesota Lynx,31,1.73,United States,,,,,,,,,
Williams Elizabeth,Chicago Sky,32,1.91,United States,,,,,,,,,
Wilson A’ja,Las Vegas Aces,28,1.93,United States,,,,,,,,,
Young Jackie,Las Vegas Aces,27,1.83,United States,,,,,,,,,
Zandalasini Cecilia,Minnesota Lynx,29,1.88,Italy,,,,,,,,,
